[Tue Jan 24 00:05:40 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for /media/Serie/DexterDexter S04 in /home/fabex/dev/test/doRename.php on line 34
[Tue Jan 24 00:05:40 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for /media/Serie/DexterDexter S05 in /home/fabex/dev/test/doRename.php on line 34
[Tue Jan 24 00:05:40 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for /media/Serie/DexterDexter S06 in /home/fabex/dev/test/doRename.php on line 34
[Tue Jan 24 00:06:47 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for /media/Serie/DexterDexter S01 in /home/fabex/dev/test/doRename.php on line 35
[Tue Jan 24 00:06:47 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for /media/Serie/DexterDexter S02 in /home/fabex/dev/test/doRename.php on line 35
[Tue Jan 24 00:06:47 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for /media/Serie/DexterDexter S03 in /home/fabex/dev/test/doRename.php on line 35
[Tue Jan 24 00:06:47 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for /media/Serie/DexterDexter S04 in /home/fabex/dev/test/doRename.php on line 35
[Tue Jan 24 00:06:47 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for /media/Serie/DexterDexter S05 in /home/fabex/dev/test/doRename.php on line 35
[Tue Jan 24 00:06:47 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for /media/Serie/DexterDexter S06 in /home/fabex/dev/test/doRename.php on line 35
[Tue Jan 24 00:09:56 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined variable: season in /home/fabex/dev/test/doRename.php on line 19
[Tue Jan 24 00:09:56 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined variable: episode in /home/fabex/dev/test/doRename.php on line 19
[Tue Jan 24 00:12:16 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined variable: season in /home/fabex/dev/test/doRename.php on line 19
[Tue Jan 24 00:12:16 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined variable: episode in /home/fabex/dev/test/doRename.php on line 19
[Tue Jan 24 00:13:24 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined variable: season in /home/fabex/dev/test/doRename.php on line 19
[Tue Jan 24 00:13:24 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined variable: episode in /home/fabex/dev/test/doRename.php on line 19
